price
"Tk 1,200,000 per shotok"
"Tk 17,000 /month"
Negotiable
"Tk 90,000 /month"
"Tk 950,000 per katha"
"Tk 700,000 per katha"
"Tk 2,000,000 per katha"
Negotiable
"Tk 2,000,000 per katha"
"Tk 21,000 /month"
Negotiable
"Tk 1,350,000 per katha"
Negotiable
"Tk 3,000 /month"
"Tk 170,000,000"
"Tk 60,000 /month"
"Tk 16,500,000 total price"
"Tk 6,300,000 per katha"
"Tk 1,600,000 total price"
""
"Tk 2,300,000 total price"
""
"Tk 2,850,000 total price"
"Tk 25,000 /month"
"Tk 400,000 /month"
"Tk 6,700,000 per katha"
"Tk 30,000 per sqft"
"Tk 700,000 per katha"
